V_DS, I_channel0.0,3e-10
0.0085,6e-10
0.0175,1.4e-09
0.026,4.5e-09
0.0345,2.44e-08
0.0435,1.447e-07
0.052,1.104e-06
0.0605,2.054e-06
0.0695,4.24e-06
0.078,4.51e-06
0.0865,4.74e-06
0.0955,4.94e-06
0.104,5.09e-06
0.1125,5.21e-06
0.1215,5.31e-06
0.13,5.39e-06
0.1385,5.45e-06
0.1475,5.5e-06
0.156,5.54e-06
0.1645,5.57e-06
0.1735,5.6e-06
0.182,5.62e-06
0.1905,5.63e-06
0.1995,5.65e-06
0.208,5.66e-06
0.2165,5.67e-06
0.2255,5.67e-06
0.234,5.68e-06
0.2425,5.69e-06
0.2515,5.69e-06
0.26,5.7e-06
0.2685,5.7e-06
0.2775,5.71e-06
0.286,5.71e-06
0.2945,5.71e-06
0.3035,5.72e-06
0.312,5.72e-06
0.3205,5.72e-06
0.3295,5.73e-06
0.338,5.73e-06
0.3465,5.73e-06
0.3555,5.74e-06
0.364,5.74e-06
0.3725,5.74e-06
0.3815,5.75e-06
0.39,5.75e-06
0.3985,5.75e-06
0.4075,5.75e-06
0.416,5.76e-06
0.4245,5.76e-06
0.4335,5.76e-06
0.442,5.76e-06
0.4505,5.77e-06
0.4595,5.77e-06
0.468,5.77e-06
0.4765,5.78e-06
0.4855,5.78e-06
0.494,5.78e-06
0.5025,5.78e-06
0.5115,5.79e-06
0.52,5.78e-06
0.5285,5.79e-06
0.5375,5.79e-06
0.546,5.79e-06
0.5545,5.8e-06
0.5635,5.8e-06
0.572,5.8e-06
0.5805,5.8e-06
0.5895,5.8e-06
0.598,5.81e-06
0.6065,5.81e-06
0.6155,5.81e-06
0.624,5.81e-06
0.6325,5.81e-06
0.6415,5.82e-06
0.65,5.82e-06
0.6585,5.82e-06
0.6675,5.82e-06
0.676,5.82e-06
0.6845,5.82e-06
0.6935,5.83e-06
0.702,5.83e-06
0.7105,5.83e-06
0.7195,5.83e-06
0.728,5.83e-06
0.7365,5.84e-06
0.7455,5.84e-06
0.754,5.84e-06
0.7625,5.84e-06
0.7715,5.84e-06
0.78,5.84e-06
0.7885,5.85e-06
0.7975,5.85e-06
0.806,5.85e-06
0.8145,5.85e-06
0.8235,5.85e-06
0.832,5.86e-06
0.8405,5.86e-06
0.8495,5.86e-06
0.858,5.86e-06
0.8665,5.86e-06
0.8755,5.86e-06
0.884,5.87e-06
0.8925,5.87e-06
0.9015,5.87e-06
0.91,5.87e-06
0.9185,5.87e-06
0.9275,5.87e-06
0.936,5.88e-06
0.9445,5.88e-06
0.9535,5.88e-06
0.962,5.88e-06
0.9705,5.88e-06
0.9795,5.89e-06
0.988,5.88e-06
0.9965,5.89e-06
1.0055,5.89e-06
1.014,5.89e-06
1.0225,5.89e-06
1.0315,5.89e-06
1.04,5.89e-06
1.0485,5.9e-06
1.0575,5.9e-06
1.066,5.9e-06
1.0745,5.9e-06
1.0835,5.9e-06
1.092,5.9e-06
1.1005,5.9e-06
1.1095,5.91e-06
1.118,5.91e-06
1.1265,5.91e-06
1.1355,5.91e-06
1.144,5.91e-06
1.1525,5.91e-06
1.1615,5.92e-06
1.17,5.92e-06
1.1785,5.92e-06
1.1875,5.92e-06
1.196,5.92e-06
1.2045,5.92e-06
1.2135,5.93e-06
1.222,5.93e-06
1.2305,5.93e-06
1.2395,5.93e-06
1.248,5.94e-06
1.2565,5.93e-06
1.2655,5.94e-06
1.274,5.94e-06
1.2825,5.94e-06
1.2915,5.94e-06
1.3,5.94e-06
